add-yield-c,4,10,80,99928,1249,0
add-none,4,10,80,97454,1218,-3
add-m,4,10,80,128534,1606,-1
add-s,4,10,80,90532,1131,0
add-c,4,10,80,95674,1195,0
add-yield-none,4,10,80,95590,1194,9
add-yield-m,4,10,80,137629,1720,-11
add-yield-s,4,10,80,109745,1371,5
add-yield-c,4,10,80,110552,1381,0
add-none,4,10,80,104216,1302,0
add-m,4,10,80,96110,1201,0
add-s,4,10,80,94123,1176,0
add-c,4,10,80,90189,1127,0
add-yield-none,4,10,80,111816,1397,3
add-yield-m,4,10,80,149480,1868,6
add-yield-s,4,10,80,142204,1777,-4
add-yield-c,4,10,80,113480,1418,0
add-none,8,10,160,177540,1109,0
add-m,8,10,160,138285,864,0
add-s,8,10,160,173949,1087,0
add-c,8,10,160,149102,931,0
add-yield-none,8,10,160,157111,981,14
add-yield-m,8,10,160,196141,1225,5
add-yield-s,8,10,160,214828,1342,21
add-yield-c,8,10,160,182825,1142,0
add-none,8,10,160,154611,966,0
add-m,8,10,160,148417,927,0
add-s,8,10,160,151455,946,0
add-c,8,10,160,147240,920,0
add-yield-none,8,10,160,172051,1075,3
add-yield-m,8,10,160,193351,1208,5
add-yield-s,8,10,160,171016,1068,6
add-yield-c,8,10,160,195361,1221,0
add-none,8,10,160,153038,956,-1
add-m,8,10,160,153995,962,0
add-s,8,10,160,146315,914,0
add-c,8,10,160,398136,2488,0
add-yield-none,8,10,160,156059,975,21
add-yield-m,8,10,160,205928,1287,12
add-yield-s,8,10,160,203528,1272,26
add-yield-c,8,10,160,154709,966,0
add-none,8,10,160,172628,1078,0
add-m,8,10,160,161648,1010,0
add-s,8,10,160,148914,930,0
add-c,8,10,160,150268,939,0
add-yield-none,8,10,160,164116,1025,7
add-yield-m,8,10,160,181355,1133,4
add-yield-s,8,10,160,515481,3221,11
add-yield-c,8,10,160,159943,999,0
add-none,8,10,160,154035,962,0
add-m,8,10,160,158998,993,0
add-s,8,10,160,170861,1067,0
add-c,8,10,160,153441,959,0
add-yield-none,8,10,160,152632,953,12
add-yield-m,8,10,160,163448,1021,19
add-yield-s,8,10,160,161256,1007,9
add-yield-c,8,10,160,152735,954,0
add-none,8,10,160,144019,900,0
add-m,8,10,160,136940,855,0
add-s,8,10,160,155506,971,0
add-c,8,10,160,146752,917,0
add-yield-none,8,10,160,187868,1174,11
add-yield-m,8,10,160,186931,1168,6
add-yield-s,8,10,160,156601,978,16
add-yield-c,8,10,160,179283,1120,0
add-none,8,10,160,139022,868,0
add-m,8,10,160,154872,967,0
add-s,8,10,160,152794,954,0
add-c,8,10,160,142089,888,0
add-yield-none,8,10,160,197196,1232,17
add-yield-m,8,10,160,176918,1105,4
add-yield-s,8,10,160,197659,1235,-1
add-yield-c,8,10,160,305299,1908,0
add-none,8,10,160,160510,1003,0
add-m,8,10,160,166978,1043,0
add-s,8,10,160,155340,970,0
add-c,8,10,160,154372,964,0
add-yield-none,8,10,160,169771,1061,10
add-yield-m,8,10,160,193183,1207,0
add-yield-s,8,10,160,150231,938,24
add-yield-c,8,10,160,163841,1024,0
add-none,8,10,160,147591,922,0
add-m,8,10,160,141866,886,0
add-s,8,10,160,159932,999,0
add-c,8,10,160,163909,1024,0
add-yield-none,8,10,160,184707,1154,25
add-yield-m,8,10,160,256208,1601,10
add-yield-s,8,10,160,155416,971,-3
add-yield-c,8,10,160,172700,1079,0
add-none,8,10,160,215571,1347,0
add-m,8,10,160,157072,981,0
add-s,8,10,160,160502,1003,0
add-c,8,10,160,145729,910,0
add-yield-none,8,10,160,264007,1650,6
add-yield-m,8,10,160,187197,1169,7
add-yield-s,8,10,160,238562,1491,17
add-yield-c,8,10,160,164957,1030,0
add-none,12,10,240,215670,898,0
add-m,12,10,240,209548,873,0
add-s,12,10,240,218707,911,0
add-c,12,10,240,220932,920,0
add-yield-none,12,10,240,278044,1158,27
add-yield-m,12,10,240,245713,1023,21
add-yield-s,12,10,240,237513,989,15
add-yield-c,12,10,240,225082,937,0
add-none,12,10,240,215625,898,0
add-m,12,10,240,203674,848,0
add-s,12,10,240,214473,893,0
add-c,12,10,240,204772,853,0
add-yield-none,12,10,240,279994,1166,9
add-yield-m,12,10,240,278506,1160,7
add-yield-s,12,10,240,285603,1190,5
add-yield-c,12,10,240,243089,1012,0
add-none,12,10,240,253358,1055,0
add-m,12,10,240,224290,934,0
add-s,12,10,240,230761,961,0
add-c,12,10,240,305240,1271,0
add-yield-none,12,10,240,337520,1406,2
add-yield-m,12,10,240,440596,1835,10
add-yield-s,12,10,240,283003,1179,28
add-yield-c,12,10,240,290167,1209,0
add-none,12,10,240,216742,903,0
add-m,12,10,240,218022,908,0
add-s,12,10,240,202906,845,0
add-c,12,10,240,227838,949,0
add-yield-none,12,10,240,283443,1181,4
add-yield-m,12,10,240,270792,1128,5
add-yield-s,12,10,240,274097,1142,4
add-yield-c,12,10,240,239047,996,0
add-none,12,10,240,209205,871,0
add-m,12,10,240,207183,863,0
add-s,12,10,240,259187,1079,0
add-c,12,10,240,301960,1258,0
add-yield-none,12,10,240,259730,1082,11
add-yield-m,12,10,240,249741,1040,27
add-yield-s,12,10,240,283719,1182,16
add-yield-c,12,10,240,244442,1018,0
add-none,12,10,240,205259,855,0
add-m,12,10,240,247377,1030,1
add-s,12,10,240,197132,821,0
add-c,12,10,240,197471,822,0
add-yield-none,12,10,240,270912,1128,1
add-yield-m,12,10,240,256072,1066,11
add-yield-s,12,10,240,253338,1055,17
add-yield-c,12,10,240,232246,967,0
add-none,12,10,240,206292,859,0
add-m,12,10,240,219450,914,0
add-s,12,10,240,200163,834,-1
add-c,12,10,240,237212,988,0
add-yield-none,12,10,240,208004,866,29
add-yield-m,12,10,240,215621,898,22
add-yield-s,12,10,240,326952,1362,0
add-yield-c,12,10,240,276738,1153,0
add-none,12,10,240,211080,879,0
add-m,12,10,240,223784,932,0
add-s,12,10,240,218376,909,0
add-c,12,10,240,206871,861,0
add-yield-none,12,10,240,257132,1071,8
add-yield-m,12,10,240,202364,843,15
add-yield-s,12,10,240,221139,921,14
add-yield-c,12,10,240,223634,931,0
add-none,12,10,240,229628,956,1
add-m,12,10,240,247964,1033,0
add-s,12,10,240,250511,1043,0
add-c,12,10,240,204308,851,0
add-yield-none,12,10,240,211732,882,6
add-yield-m,12,10,240,303866,1266,0
add-yield-s,12,10,240,231922,966,16
add-yield-c,12,10,240,229377,955,0
add-none,12,10,240,202254,842,0
add-m,12,10,240,242609,1010,0
add-s,12,10,240,225720,940,0
add-c,12,10,240,216395,901,0
add-yield-none,12,10,240,309977,1291,22
add-yield-m,12,10,240,254464,1060,29
add-yield-s,12,10,240,221403,922,29
add-yield-c,12,10,240,253473,1056,0
add-none,2,20,80,117003,1462,0
add-m,2,20,80,91056,1138,0
add-s,2,20,80,93305,1166,0
add-c,2,20,80,92254,1153,0
add-yield-none,2,20,80,102769,1284,18
add-yield-m,2,20,80,111551,1394,16
add-yield-s,2,20,80,87907,1098,18
add-yield-c,2,20,80,89750,1121,0
add-none,2,20,80,66228,827,0
add-m,2,20,80,67241,840,0
add-s,2,20,80,70911,886,0
add-c,2,20,80,63730,796,0
add-yield-none,2,20,80,109955,1374,18
add-yield-m,2,20,80,111415,1392,3
add-yield-s,2,20,80,116023,1450,3
add-yield-c,2,20,80,131217,1640,0
add-none,2,20,80,99730,1246,0
add-m,2,20,80,84171,1052,0
add-s,2,20,80,95492,1193,0
add-c,2,20,80,67010,837,0
add-yield-none,2,20,80,121414,1517,16
add-yield-m,2,20,80,111400,1392,2
add-yield-s,2,20,80,124419,1555,0
add-yield-c,2,20,80,112705,1408,0
add-none,2,20,80,93551,1169,0
add-m,2,20,80,103698,1296,0
add-s,2,20,80,134341,1679,0
add-c,2,20,80,131031,1637,0
add-yield-none,2,20,80,105781,1322,17
add-yield-m,2,20,80,133929,1674,20
add-yield-s,2,20,80,101884,1273,0
add-yield-c,2,20,80,130316,1628,0
add-none,2,20,80,122762,1534,0
add-m,2,20,80,138834,1735,0
add-s,2,20,80,139862,1748,0
add-c,2,20,80,133433,1667,0
add-yield-none,2,20,80,112381,1404,16
add-yield-m,2,20,80,130446,1630,0
add-yield-s,2,20,80,140809,1760,0
add-yield-c,2,20,80,120762,1509,0
add-none,2,20,80,102327,1279,0
add-m,2,20,80,81446,1018,0
add-s,2,20,80,66753,834,0
add-c,2,20,80,69718,871,0
add-yield-none,2,20,80,87190,1089,19
add-yield-m,2,20,80,88918,1111,18
add-yield-s,2,20,80,87541,1094,17
add-yield-c,2,20,80,87178,1089,0
add-none,2,20,80,87612,1095,0
add-m,2,20,80,64341,804,0
add-s,2,20,80,66408,830,0
add-c,2,20,80,64491,806,0
add-yield-none,2,20,80,84328,1054,18
add-yield-m,2,20,80,84181,1052,16
add-yield-s,2,20,80,84246,1053,18
add-yield-c,2,20,80,85236,1065,0
add-none,2,20,80,65459,818,0
add-m,2,20,80,66647,833,0
add-s,2,20,80,64979,812,0
add-c,2,20,80,65004,812,0
add-yield-none,2,20,80,84120,1051,18
add-yield-m,2,20,80,85053,1063,19
add-yield-s,2,20,80,85194,1064,18
add-yield-c,2,20,80,84582,1057,0
add-none,2,20,80,66512,831,0
add-m,2,20,80,61874,773,0
add-s,2,20,80,63770,797,0
add-c,2,20,80,59477,743,0
add-yield-none,2,20,80,87026,1087,19
add-yield-m,2,20,80,88980,1112,19
add-yield-s,2,20,80,86319,1078,17
add-yield-c,2,20,80,117004,1462,0
add-none,2,20,80,63792,797,0
add-m,2,20,80,69965,874,0
add-s,2,20,80,70513,881,0
add-c,2,20,80,92710,1158,0
add-yield-none,2,20,80,100881,1261,18
add-yield-m,2,20,80,123526,1544,15
add-yield-s,2,20,80,86412,1080,15
add-yield-c,2,20,80,88486,1106,0
add-none,4,20,160,90827,567,0
add-m,4,20,160,103871,649,0
add-s,4,20,160,96605,603,0
add-c,4,20,160,89542,559,0
add-yield-none,4,20,160,114313,714,15
add-yield-m,4,20,160,111311,695,34
add-yield-s,4,20,160,109984,687,24
add-yield-c,4,20,160,108644,679,0
add-none,4,20,160,89476,559,0
add-m,4,20,160,85996,537,0
add-s,4,20,160,87688,548,0
add-c,4,20,160,94744,592,0
add-yield-none,4,20,160,109251,682,51
add-yield-m,4,20,160,104729,654,29
add-yield-s,4,20,160,109240,682,12
add-yield-c,4,20,160,117495,734,0
add-none,4,20,160,87111,544,0
add-m,4,20,160,91896,574,0
add-s,4,20,160,84231,526,0
add-c,4,20,160,85841,536,0
add-yield-none,4,20,160,111100,694,20
add-yield-m,4,20,160,121680,760,10
add-yield-s,4,20,160,143925,899,20
add-yield-c,4,20,160,108547,678,0
add-none,4,20,160,92772,579,0
add-m,4,20,160,87104,544,0
add-s,4,20,160,91396,571,0
add-c,4,20,160,82663,516,0
add-yield-none,4,20,160,105686,660,19
add-yield-m,4,20,160,109758,685,18
add-yield-s,4,20,160,116105,725,21
add-yield-c,4,20,160,113040,706,0
add-none,4,20,160,95036,593,0
add-m,4,20,160,94823,592,0
add-s,4,20,160,99082,619,0
add-c,4,20,160,92684,579,0
add-yield-none,4,20,160,172464,1077,0
add-yield-m,4,20,160,129229,807,5
add-yield-s,4,20,160,192707,1204,23
add-yield-c,4,20,160,198764,1242,0
add-none,4,20,160,94915,593,0
add-m,4,20,160,100610,628,0
add-s,4,20,160,191504,1196,0
add-c,4,20,160,90441,565,0
add-yield-none,4,20,160,109430,683,55
add-yield-m,4,20,160,111868,699,4
add-yield-s,4,20,160,109932,687,2
add-yield-c,4,20,160,109436,683,0
add-none,4,20,160,154547,965,0
add-m,4,20,160,142493,890,0
add-s,4,20,160,114528,715,0
add-c,4,20,160,137256,857,0
add-yield-none,4,20,160,151796,948,0
add-yield-m,4,20,160,138472,865,24
add-yield-s,4,20,160,142006,887,36
add-yield-c,4,20,160,214372,1339,0
add-none,4,20,160,121032,756,18
add-m,4,20,160,141354,883,0
add-s,4,20,160,136508,853,0
add-c,4,20,160,193917,1211,0
add-yield-none,4,20,160,160240,1001,15
add-yield-m,4,20,160,165290,1033,52
add-yield-s,4,20,160,161257,1007,2
add-yield-c,4,20,160,174847,1092,0
add-none,4,20,160,135066,844,0
add-m,4,20,160,134444,840,0
add-s,4,20,160,126205,788,0
add-c,4,20,160,132507,828,0
add-yield-none,4,20,160,162768,1017,13
add-yield-m,4,20,160,181281,1133,9
add-yield-s,4,20,160,173439,1083,18
add-yield-c,4,20,160,157622,985,0
add-none,4,20,160,190883,1193,19
add-m,4,20,160,170543,1065,0
add-s,4,20,160,154828,967,0
add-c,4,20,160,120153,750,0
add-yield-none,4,20,160,159301,995,5
add-yield-m,4,20,160,611646,3822,11
add-yield-s,4,20,160,921100,5756,28
add-yield-c,4,20,160,236915,1480,0
add-none,8,20,320,310912,971,0
add-m,8,20,320,210935,659,0
add-s,8,20,320,265264,828,0
add-c,8,20,320,205492,642,0
add-yield-none,8,20,320,355160,1109,26
add-yield-m,8,20,320,284026,887,79
add-yield-s,8,20,320,315219,985,37
add-yield-c,8,20,320,272546,851,0
add-none,8,20,320,241203,753,0
add-m,8,20,320,1396911,4365,0
add-s,8,20,320,246528,770,0
add-c,8,20,320,229438,716,0
add-yield-none,8,20,320,275082,859,50
add-yield-m,8,20,320,305881,955,11
add-yield-s,8,20,320,508283,1588,44
add-yield-c,8,20,320,349698,1092,0
add-none,8,20,320,238681,745,0
add-m,8,20,320,255670,798,0
add-s,8,20,320,267082,834,0
add-c,8,20,320,254186,794,0
add-yield-none,8,20,320,305110,953,49
add-yield-m,8,20,320,263883,824,5
add-yield-s,8,20,320,301656,942,29
add-yield-c,8,20,320,272997,853,0
add-none,8,20,320,239932,749,0
add-m,8,20,320,229531,717,0
add-s,8,20,320,226091,706,0
add-c,8,20,320,209571,654,0
add-yield-none,8,20,320,278892,871,73
add-yield-m,8,20,320,282910,884,4
add-yield-s,8,20,320,296415,926,49
add-yield-c,8,20,320,288793,902,0
add-none,8,20,320,221053,690,0
add-m,8,20,320,291697,911,0
add-s,8,20,320,226396,707,0
add-c,8,20,320,224416,701,0
add-yield-none,8,20,320,296182,925,94
add-yield-m,8,20,320,278680,870,25
add-yield-s,8,20,320,339411,1060,34
add-yield-c,8,20,320,276594,864,0
add-none,8,20,320,221364,691,0
add-m,8,20,320,222191,694,0
add-s,8,20,320,239420,748,0
add-c,8,20,320,226391,707,0
add-yield-none,8,20,320,283820,886,54
add-yield-m,8,20,320,348615,1089,3
add-yield-s,8,20,320,300797,939,36
add-yield-c,8,20,320,284777,889,0
add-none,8,20,320,205972,643,0
add-m,8,20,320,222682,695,0
add-s,8,20,320,220512,689,0
add-c,8,20,320,219102,684,0
add-yield-none,8,20,320,278011,868,69
add-yield-m,8,20,320,284185,888,24
add-yield-s,8,20,320,272925,852,19
add-yield-c,8,20,320,309469,967,0
add-none,8,20,320,214526,670,0
add-m,8,20,320,230202,719,0
add-s,8,20,320,246235,769,0
add-c,8,20,320,238229,744,0
add-yield-none,8,20,320,252537,789,38
add-yield-m,8,20,320,476004,1487,33
add-yield-s,8,20,320,331205,1035,13
add-yield-c,8,20,320,321475,1004,0
add-none,8,20,320,208440,651,0
add-m,8,20,320,266629,833,0
add-s,8,20,320,270783,846,0
add-c,8,20,320,204626,639,0
add-yield-none,8,20,320,311017,971,49
add-yield-m,8,20,320,320537,1001,22
add-yield-s,8,20,320,287136,897,82
add-yield-c,8,20,320,279192,872,0
add-none,8,20,320,228157,712,0
add-m,8,20,320,273398,854,0
add-s,8,20,320,224891,702,0
add-c,8,20,320,215120,672,0
add-yield-none,8,20,320,305057,953,18
add-yield-m,8,20,320,282895,884,28
add-yield-s,8,20,320,294728,921,7
add-yield-c,8,20,320,284858,890,0
add-none,12,20,480,307141,639,0
add-m,12,20,480,300414,625,0
add-s,12,20,480,331516,690,0
add-c,12,20,480,315290,656,0
add-yield-none,12,20,480,426401,888,86
add-yield-m,12,20,480,436380,909,79
add-yield-s,12,20,480,421327,877,48
add-yield-c,12,20,480,399339,831,0
add-none,12,20,480,288696,601,0
add-m,12,20,480,298576,622,0
add-s,12,20,480,288208,600,0
add-c,12,20,480,301092,627,0
add-yield-none,12,20,480,451134,939,88
add-yield-m,12,20,480,377367,786,47
add-yield-s,12,20,480,456645,951,61
add-yield-c,12,20,480,391726,816,0
add-none,12,20,480,370392,771,3
add-m,12,20,480,364103,758,1
add-s,12,20,480,398064,829,0
add-c,12,20,480,317397,661,0
add-yield-none,12,20,480,347911,724,97
add-yield-m,12,20,480,410831,855,70
add-yield-s,12,20,480,424831,885,37
add-yield-c,12,20,480,360613,751,0
add-none,12,20,480,296627,617,0
add-m,12,20,480,364860,760,0
add-s,12,20,480,244295,508,0
add-c,12,20,480,277475,578,0
add-yield-none,12,20,480,358836,747,80
add-yield-m,12,20,480,293896,612,11
add-yield-s,12,20,480,340888,710,76
add-yield-c,12,20,480,305133,635,0
add-none,12,20,480,220056,458,0
